id_stacji,stacja,rzeka,województwo,stan_wody,stan_wody_data_pomiaru,temperatura_wody,temperatura_wody_data_pomiaru,zjawisko_lodowe,zjawisko_lodowe_data_pomiaru,zjawisko_zarastania,zjawisko_zarastania_data_pomiaru
150200080,Pinczów,Nida,świętokrzyskie,222,"2017-11-25 13:10:00",,,0,"2017-08-30 07:59:00",,
151180080,Sieradz,Warta,łódzkie,269,"2017-11-25 13:10:00",,,,,0,"2017-09-15 08:03:00"
151170060,Bogdaj,"Polska Woda",wielkopolskie,249,"2017-11-25 13:10:00",7.9,"2017-11-25 13:10:00",,,,
152160100,Oborniki,Warta,wielkopolskie,390,"2017-11-25 13:10:00",5.7,"2017-11-25 13:10:00",0,"2017-08-24 13:12:00",0,"2017-08-08 07:00:00"
154150010,Trzebiatów,Rega,zachodniopomorskie,264,"2017-11-25 13:10:00",5.7,"2017-11-25 13:10:00",,,,
151160150,Malczyce,Odra,dolnośląskie,150,"2017-11-25 13:10:00",6.3,"2017-11-25 13:10:00",,,0,"2017-09-27 11:00:00"
149210130,Żarnowa,Wisłok,podkarpackie,202,"2017-11-25 13:00:00",,,0,"2017-10-17 08:13:00",,
150210120,"Mielec 2",Wisłoka,podkarpackie,231,"2017-11-25 13:00:00",,,0,"2017-11-16 11:01:00",,
153180090,Toruń,Wisła,kujawsko-pomorskie,348,"2017-11-25 13:10:00",,,,,,
151220010,Kośmin,Wieprz,lubelskie,233,"2017-11-25 13:10:00",4.34,"2017-11-25 13:11:00",,,,
151160230,Ślęza,Ślęza,dolnośląskie,203,"2017-11-25 13:10:00",6.8,"2017-11-25 13:10:00",,,202,"2017-10-17 10:00:00"
150170180,"Racławice Śląskie",Osobłoga,opolskie,183,"2017-11-25 13:10:00",,,,,,
150220160,Osuchy,Tanew,lubelskie,218,"2017-11-25 13:10:00",,,,,0,"2017-07-11 11:31:00"
154190170,Łozy,Pasłęka,warmińsko-mazurskie,308,"2017-11-25 13:10:00",,,,,100,"2017-09-19 11:00:00"
149180210,Zabrzeg,Wisła,śląskie,234,"2017-11-25 13:00:00",5.12,"2017-11-25 13:00:00",,,,
149220180,Stuposiany,Wołosaty,podkarpackie,177,"2017-11-25 13:10:00",,,,,0,"2017-09-23 11:01:00"
149200100,"Łysa Polana",Białka,małopolskie,168,"2017-11-25 13:10:00",,,,,,
153200040,Tomaryny,Pasłęka,warmińsko-mazurskie,189,"2017-11-25 13:10:00",,,,,,
150230070,Gozdów,Huczwa,lubelskie,165,"2017-11-25 13:10:00",4.4,"2017-11-25 13:10:00",,,,
149220190,Przemyśl,San,podkarpackie,190,"2017-11-25 13:00:00",,,,,,
152200090,Krubice,Utrata,mazowieckie,178,"2017-11-25 13:10:00",,,,,0,"2017-11-20 10:56:00"
154180060,Goręczyno,Radunia,pomorskie,153,"2017-11-25 13:10:00",5.9,"2017-11-25 13:10:00",,,0,"2017-11-10 10:09:00"
153220130,"Strękowa Góra",Narew,podlaskie,326,"2017-11-25 13:10:00",,,0,"2017-11-15 13:57:00",0,"2017-10-05 13:02:00"
151210120,Dęblin,Wisła,lubelskie,238,"2017-11-25 13:10:00",,,,,0,"2017-11-15 09:05:00"
152210060,"Zambski Kościelne",Narew,mazowieckie,340,"2017-11-25 13:00:00",4.23,"2017-11-25 13:00:00",0,"2017-11-09 11:05:00",0,"2017-10-12 12:03:00"
149210010,Ropa,Ropa,małopolskie,165,"2017-11-25 13:10:00",,,0,"2017-11-08 11:58:00",,
152210030,"Maków Mazowiecki",Orzyc,mazowieckie,260,"2017-11-25 13:10:00",,,,,211,"2017-09-14 09:00:00"
154210020,Prosna,Guber,warmińsko-mazurskie,246,"2017-11-25 13:10:00",,,,,0,"2017-11-02 09:10:00"
153220100,Burzyn,Biebrza,podlaskie,344,"2017-11-25 13:10:00",,,,,0,"2017-11-07 06:58:00"
150200150,Karsy,Wisła,małopolskie,264,"2017-11-25 13:10:00",6.57,"2017-11-25 13:10:00",,,0,"2017-09-11 10:57:00"
153190120,Rodzone,Drwęca,warmińsko-mazurskie,297,"2017-11-25 13:10:00",,,,,0,"2017-10-26 11:04:00"
151160220,Kanclerzowice,Sąsiecznica,dolnośląskie,218,"2017-11-25 13:10:00",7.3,"2017-11-25 13:10:00",,,333,"2017-10-10 11:00:00"
151210080,Kazanów,Iłżanka,mazowieckie,178,"2017-11-25 13:10:00",,,,,,
150200100,Popędzynka,Wisła,małopolskie,266,"2017-11-25 13:10:00",,,,,0,"2017-08-28 10:04:00"
153160020,Tychówko,Parsęta,zachodniopomorskie,240,"2017-11-25 13:10:00",,,,,100,"2017-08-17 13:09:00"
152180110,Kościelec,Kiełbaska,wielkopolskie,232,"2017-11-25 13:10:00",,,,,100,"2017-10-17 10:00:00"
152160140,"Poznań Most Rocha",Warta,wielkopolskie,348,"2017-11-25 13:10:00",,,0,"2017-11-15 10:00:00",0,"2017-11-14 11:56:00"
150200010,Mniszek,"Biała Nida",świętokrzyskie,225,"2017-11-25 13:10:00",,,0,"2017-08-18 09:01:00",0,"2017-07-05 13:39:00"
151140050,Ręczyn,Witka,dolnośląskie,211,"2017-11-25 13:10:00",,,,,,
151190100,Sulejów,Pilica,łódzkie,220,"2017-11-25 13:10:00",,,,,0,"2017-10-19 14:12:00"
150190360,Gromiec,Wisła,małopolskie,186,"2017-11-25 13:10:00",,,,,,
152180060,Posoka,Powa,wielkopolskie,187,"2017-11-25 13:10:00",,,,,0,"2017-11-22 11:10:00"
149190270,Radziszów,Skawinka,małopolskie,184,"2017-11-25 13:10:00",,,,,,
150210160,Koprzywnica,Koprzywianka,świętokrzyskie,196,"2017-11-25 13:10:00",,,,,,
152160050,Wronki,Warta,wielkopolskie,365,"2017-11-25 13:10:00",5.8,"2017-11-25 13:10:00",,,,
152150050,Nietków,Odra,lubuskie,272,"2017-11-25 13:10:00",6.3,"2017-11-25 13:10:00",,,,
150210060,Staszów,Czarna,świętokrzyskie,158,"2017-11-25 13:10:00",,,,,,
149200050,"Nowy Targ - Kowaniec",Dunajec,małopolskie,165,"2017-11-25 13:10:00",,,0,"2017-10-11 16:05:00",,
152190030,Włocławek,Wisła,kujawsko-pomorskie,306,"2017-11-25 13:10:00",,,,,0,"2017-08-25 09:12:00"
149180090,"Borki Mizerów",Pszczynka,śląskie,181,"2017-11-25 13:10:00",,,,,,
153160180,Piła,Gwda,wielkopolskie,194,"2017-11-25 13:10:00",5.5,"2017-11-25 13:10:00",,,0,"2017-11-24 09:00:00"
152210020,Piaseczno,Jeziorka,mazowieckie,236,"2017-11-25 13:10:00",,,,,,
149200190,Gołkowice,Dunajec,małopolskie,170,"2017-11-25 13:10:00",,,0,"2017-07-05 09:01:00",,
149220030,Olchowce,San,podkarpackie,176,"2017-11-25 13:10:00",,,,,0,"2017-10-27 09:59:00"
149200150,Tylmanowa,Ochotnica,małopolskie,168,"2017-11-25 13:10:00",,,,,,
150190280,Wąsosz,Pilica,śląskie,194,"2017-11-25 13:10:00",,,,,0,"2017-08-03 12:02:00"
151150130,"Szprotawa 2",Szprotawa,lubuskie,204,"2017-11-25 13:10:00",,,,,0,"2017-10-13 11:00:00"
150180110,"Ruda Kozielska",Ruda,śląskie,171,"2017-11-25 13:10:00",,,0,"2017-11-17 08:00:00",0,"2017-11-17 08:00:00"
149190280,Koniówka,"Czarny Dunajec",małopolskie,140,"2017-11-25 13:10:00",,,0,"2017-09-07 13:59:00",,
149180120,"Górki Wielkie",Brennica,śląskie,169,"2017-11-25 13:10:00",,,0,"2017-09-21 10:00:00",,
151180170,Rogóźno,Widawka,łódzkie,189,"2017-11-25 13:00:00",12.1,"2017-11-25 13:00:00",,,100,"2017-09-14 09:59:00"
150160160,Mietków,Bystrzyca,dolnośląskie,152,"2017-11-25 13:10:00",,,,,0,"2017-09-09 11:00:00"
150190190,Piwoń,Przemsza,śląskie,175,"2017-11-25 13:10:00",,,0,"2017-09-19 10:00:00",101,"2017-09-19 10:00:00"
152220080,Suraż,Narew,podlaskie,257,"2017-11-25 13:10:00",,,,,100,"2017-10-27 11:09:00"
150170060,Nysa,"Nysa Kłodzka",opolskie,167,"2017-11-25 13:10:00",6,"2017-11-25 13:10:00",,,0,"2017-10-24 06:59:00"
153210120,Walery,Rozoga,mazowieckie,226,"2017-11-25 13:10:00",,,,,100,"2017-10-19 12:02:00"
153230010,Fasty,Supraśl,podlaskie,142,"2017-11-25 13:10:00",,,,,100,"2017-10-20 06:02:00"
153220050,"Ełk 2","Jez. Ełckie",warmińsko-mazurskie,195,"2017-11-25 13:10:00",,,,,0,"2017-09-05 09:10:00"
153190090,"Nowe Miasto Lubawskie",Drwęca,warmińsko-mazurskie,319,"2017-11-25 13:10:00",,,,,100,"2017-09-20 15:11:00"
149210100,Zboiska,Jasiołka,podkarpackie,169,"2017-11-25 13:00:00",,,0,"2017-10-06 08:06:00",,
149200280,Zgłobice,Dunajec,małopolskie,153,"2017-11-25 13:00:00",6.3,"2017-11-25 13:00:00",,,,
154200020,Krosno,"Drwęca Warmińska",warmińsko-mazurskie,193,"2017-11-25 13:10:00",,,,,0,"2017-09-20 13:02:00"
153230110,Supraśl,Supraśl,podlaskie,158,"2017-11-25 13:10:00",,,,,221,"2017-09-13 09:12:00"
154180270,"Pruszcz Gdański",Radunia,pomorskie,200,"2017-11-25 13:10:00",4.4,"2017-11-25 13:10:00",0,"2017-09-25 10:00:00",,
152170130,Ląd,Warta,wielkopolskie,302,"2017-11-25 13:10:00",,,,,,
150170150,"Karłowice (Wapienniki)",Stobrawa,opolskie,179,"2017-11-25 13:10:00",,,,,,
149190200,"Sucha Beskidzka",Stryszawka,małopolskie,151,"2017-11-25 13:00:00",5.73,"2017-11-25 13:00:00",,,0,"2017-07-04 11:40:00"
149220130,Zatwarnica,San,podkarpackie,152,"2017-11-25 13:10:00",,,,,,
149190380,"Zakopane Harenda","Cicha Woda",małopolskie,247,"2017-07-02 06:10:00",,,0,"2017-09-08 07:59:00",,
